"customername","policy_id","date","amount","paymentmethod"
"Amira Dani",873,"2023-01-15","32707","Cash"
"Amira Dani",873,"2024-09-28","38553","Debit Card"
"Amira Manne",366,"2020-07-03","21563","Net Banking"
"Amira Manne",366,"2022-01-05","5985","Net Banking"
"Amira Manne",366,"2022-05-31","14095","Net Banking"
"Amira Manne",366,"2023-08-11","42957","Debit Card"
"Anahi Balakrishnan",715,"2020-02-16","31314","UPI"
"Anahi Balakrishnan",253,"2020-02-17","8641","UPI"
"Anahi Balakrishnan",715,"2021-03-19","44756","Net Banking"
"Anahi Balakrishnan",715,"2022-02-09","35621","Credit Card"
"Anahi Balakrishnan",253,"2022-06-07","28169","Net Banking"
"Anahi Balakrishnan",715,"2023-05-12","25392","UPI"
"Anahi Balakrishnan",253,"2024-05-22","47207","Cash"
"Anahita Butala",880,"2021-10-23","41263","Cash"
"Anahita Butala",880,"2024-01-03","36344","Net Banking"
"Anahita Desai",667,"2020-05-12","44146","Debit Card"
"Anahita Desai",667,"2020-07-18","49986","Credit Card"
"Anahita Desai",386,"2022-04-26","20303","Cash"
"Anahita Desai",386,"2022-06-04","39489","Debit Card"
"Anahita Desai",363,"2023-02-25","20018","Cash"
"Anahita Desai",386,"2023-08-11","33146","Cash"
"Anahita Jhaveri",290,"2021-07-12","23239","Debit Card"
"Anahita Jhaveri",290,"2021-08-22","10168","Cash"
"Anahita Jhaveri",7,"2023-12-13","37666","Net Banking"
"Anahita Sachar",830,"2019-10-31","16220","Debit Card"
"Anahita Sachar",830,"2021-09-02","44765","Net Banking"
"Anahita Sachar",689,"2022-09-20","30867","UPI"
"Anahita Sachar",689,"2022-10-07","23220","UPI"
"Anahita Sood",793,"2020-09-04","46631","Credit Card"
"Anahita Sood",793,"2023-05-30","2535","UPI"
"Anay Gola",295,"2022-01-03","14955","Credit Card"
"Anay Gola",295,"2023-04-04","32208","UPI"
"Anay Solanki",799,"2020-01-16","27138","Credit Card"
"Anay Solanki",799,"2020-02-28","30166","Cash"
"Anay Solanki",799,"2022-10-07","25955","UPI"
"Anay Solanki",799,"2024-02-20","35944","Net Banking"
"Anaya Biswas",163,"2021-04-18","18585","Credit Card"
"Anaya Biswas",972,"2021-11-12","24837","UPI"
"Anaya Biswas",972,"2022-01-07","42044","Credit Card"
"Anaya Biswas",972,"2022-01-22","22114","Net Banking"
"Anaya Biswas",972,"2023-09-08","2549","Debit Card"
"Anaya Biswas",163,"2023-12-15","32242","Credit Card"
"Anaya De",928,"2023-09-06","10311","Credit Card"
"Anaya Shroff",842,"2019-12-06","33361","Net Banking"
"Anaya Shroff",503,"2020-09-01","22322","Credit Card"
"Anaya Shroff",503,"2021-04-22","10787","Net Banking"
"Anaya Tailor",183,"2020-05-26","3124","Debit Card"
"Anaya Tailor",183,"2022-12-25","11863","UPI"
"Anaya Tailor",183,"2023-02-05","3613","Net Banking"
"Anaya Tailor",49,"2024-04-04","43136","UPI"
"Anvi Arya",994,"2020-06-25","46359","Cash"
"Anvi Arya",994,"2021-12-26","19576","Net Banking"
"Anvi Arya",219,"2022-11-23","22075","Cash"
"Anvi Arya",364,"2023-06-23","48117","Credit Card"
"Anvi Arya",219,"2024-07-15","33832","Cash"
"Anvi Karan",172,"2022-01-09","9985","Net Banking"
"Anvi Karan",172,"2022-09-21","12186","UPI"
"Anvi Mallick",990,"2020-10-29","34365","UPI"
"Anvi Mallick",990,"2022-08-11","32463","UPI"
"Anvi Manda",821,"2022-02-06","39850","Debit Card"
"Anvi Manda",821,"2023-03-18","45425","Debit Card"
"Anvi Manda",821,"2024-02-19","36173","Net Banking"
"Anvi Sen",598,"2023-03-28","18255","Cash"
"Anvi Sen",598,"2024-04-30","9347","Debit Card"
"Anvi Seshadri",859,"2024-02-13","30481","UPI"
"Anvi Seshadri",859,"2024-07-24","24249","Net Banking"
"Anya Basak",25,"2022-03-28","8690","Net Banking"
"Anya Basak",25,"2022-04-08","1059","Debit Card"
"Anya Basak",4,"2022-05-16","26299","Debit Card"
"Anya Basak",4,"2023-03-07","21243","Debit Card"
"Anya Basak",25,"2023-09-25","25607","Debit Card"
"Anya Dhar",67,"2020-05-29","42048","Credit Card"
"Anya Dhar",67,"2023-03-30","9994","Credit Card"
"Anya Dhar",67,"2024-03-07","29223","UPI"
"Anya Mahajan",511,"2021-04-01","48478","Credit Card"
"Anya Mahajan",511,"2022-02-19","9447","UPI"
"Anya Mahajan",511,"2022-11-29","6399","Credit Card"
"Anya Mani",190,"2019-12-12","25302","Cash"
"Anya Mani",190,"2019-12-26","8166","Credit Card"
"Anya Mani",190,"2020-04-14","4111","UPI"
"Anya Mani",190,"2021-03-28","36960","Credit Card"
"Anya Mani",190,"2024-07-18","13239","Net Banking"
"Anya Varty",385,"2020-09-10","11342","Credit Card"
"Anya Varty",385,"2021-07-08","30725","UPI"
"Anya Varty",385,"2022-03-26","15987","Net Banking"
"Anya Varty",385,"2022-07-31","25047","Debit Card"
"Anya Varty",385,"2023-10-10","6147","Credit Card"
"Aradhya Bail",677,"2019-11-27","7091","UPI"
"Aradhya Bail",251,"2021-01-30","48517","Cash"
"Aradhya Bail",251,"2021-04-14","46088","Debit Card"
"Aradhya Bail",251,"2021-08-28","28768","Debit Card"
"Aradhya Bail",677,"2021-11-30","10330","UPI"
"Aradhya Bail",677,"2022-04-27","3004","Credit Card"
"Aradhya Bail",677,"2022-09-18","23772","Net Banking"
"Aradhya Sem",731,"2019-12-16","47420","Credit Card"
"Aradhya Sem",731,"2022-12-13","5072","Credit Card"
"Aradhya Sem",314,"2023-08-29","1228","Cash"
"Aradhya Yadav",909,"2023-05-05","37225","Credit Card"
"Aradhya Yadav",909,"2024-06-17","29632","Credit Card"
"Armaan Goda",330,"2021-05-05","43763","UPI"
"Armaan Goda",330,"2022-06-20","33402","Net Banking"
"Armaan Goda",330,"2024-01-03","2168","Credit Card"
"Armaan Goda",330,"2024-01-14","41795","Credit Card"
"Armaan Goda",330,"2024-01-15","25491","Debit Card"
"Arnav Atwal",645,"2019-11-11","20572","UPI"
"Arnav Atwal",260,"2019-11-29","45153","Cash"
"Arnav Atwal",645,"2020-03-19","10245","UPI"
"Arnav Atwal",645,"2020-06-12","2659","Credit Card"
"Arnav Atwal",260,"2021-02-04","13610","Cash"
"Arnav Hora",177,"2024-07-05","36719","Credit Card"
"Arnav Lal",194,"2020-05-19","40964","Debit Card"
"Arnav Lal",176,"2020-09-01","18814","UPI"
"Arnav Lal",176,"2020-12-05","27273","UPI"
"Arnav Lal",574,"2022-09-28","8001","Cash"
"Arnav Lal",574,"2023-09-19","38240","Debit Card"
"Arnav Mallick",524,"2024-01-25","48522","Debit Card"
"Ayesha Dass",223,"2019-12-17","9297","Credit Card"
"Ayesha Doctor",3,"2023-12-06","5275","Net Banking"
"Ayesha Ramaswamy",392,"2020-11-15","48865","Credit Card"
"Ayesha Ramaswamy",392,"2021-08-04","48648","UPI"
"Ayesha Ramaswamy",392,"2024-08-15","31232","Debit Card"
"Azad Tank",493,"2020-01-05","16804","UPI"
"Azad Tank",493,"2021-10-13","21108","Debit Card"
"Badal Sekhon",250,"2020-06-12","23444","UPI"
"Badal Sekhon",250,"2022-02-10","17256","Debit Card"
"Badal Sekhon",250,"2023-03-31","3982","Debit Card"
"Badal Srinivas",161,"2021-07-30","23732","Cash"
"Badal Srinivas",161,"2024-09-30","18743","Debit Card"
"Bhamini Boase",201,"2020-10-17","19336","Credit Card"
"Bhamini Boase",623,"2020-10-29","2491","Cash"
"Bhamini Boase",623,"2020-11-15","30108","UPI"
"Bhamini Boase",282,"2021-03-28","31812","Debit Card"
"Bhamini Boase",623,"2021-04-13","14818","Net Banking"
"Bhamini Boase",201,"2022-05-21","17328","Cash"
"Bhamini Boase",282,"2022-06-16","13764","Credit Card"
"Bhamini Boase",282,"2022-09-24","23720","Cash"
"Bhamini Boase",201,"2022-09-25","25147","UPI"
"Bhamini Boase",623,"2023-06-06","34680","Debit Card"
"Bhavin Gandhi",429,"2020-07-19","39099","UPI"
"Bhavin Gandhi",995,"2021-02-07","29757","Credit Card"
"Bhavin Gandhi",995,"2021-09-07","27091","UPI"
"Bhavin Gandhi",429,"2023-01-30","21017","Debit Card"
"Bhavin Gandhi",429,"2024-07-13","7853","UPI"
"Bhavin Rajan",747,"2022-03-08","9881","Cash"
"Biju Keer",258,"2022-07-09","23356","Credit Card"
"Biju Ranganathan",88,"2020-07-03","34447","Net Banking"
"Biju Ranganathan",88,"2023-09-05","41096","Credit Card"
"Charvi Savant",204,"2020-06-29","31305","Credit Card"
"Charvi Savant",204,"2021-09-21","35184","UPI"
"Charvi Savant",204,"2024-01-05","1487","UPI"
"Chirag Bhalla",877,"2021-01-29","24309","Cash"
"Chirag Bhalla",877,"2021-10-06","19752","Net Banking"
"Chirag Bhalla",877,"2022-10-01","27277","Net Banking"
"Chirag Dugar",264,"2021-03-23","37839","UPI"
"Chirag Dugar",341,"2021-09-28","31086","Credit Card"
"Chirag Dugar",341,"2023-06-11","46303","Debit Card"
"Chirag Dugar",264,"2023-10-28","30765","Cash"
"Chirag Madan",854,"2024-02-01","5949","Credit Card"
"Chirag Salvi",723,"2022-01-04","31033","Debit Card"
"Chirag Salvi",723,"2022-08-18","17985","Cash"
"Chirag Sane",896,"2023-12-10","41785","UPI"
"Chirag Sane",896,"2024-04-04","8023","Cash"
"Chirag Sekhon",12,"2021-11-19","19816","Cash"
"Chirag Sekhon",12,"2022-01-25","9505","Debit Card"
"Chirag Yohannan",152,"2019-11-14","10454","UPI"
"Chirag Yohannan",152,"2020-06-20","11371","Net Banking"
"Chirag Yohannan",152,"2022-07-14","2751","Debit Card"
"Chirag Yohannan",152,"2023-08-25","33137","Net Banking"
"Chirag Yohannan",152,"2023-11-28","21428","Cash"
"Damini Chada",989,"2020-04-29","24299","Debit Card"
"Damini Chada",989,"2021-01-07","15729","UPI"
"Damini Chada",989,"2022-05-14","9449","UPI"
"Damini Lall",754,"2020-07-07","39791","UPI"
"Damini Lall",754,"2021-09-18","46030","Credit Card"
"Damini Lall",227,"2023-11-02","26567","Credit Card"
"Damini Venkataraman",307,"2020-02-21","24888","Cash"
"Damini Venkataraman",307,"2021-02-10","24064","Net Banking"
"Damini Venkataraman",307,"2024-08-07","2800","Debit Card"
"Darshit Chokshi",730,"2019-12-04","6446","UPI"
"Darshit Chokshi",425,"2020-02-01","30999","Cash"
"Darshit Chokshi",730,"2020-11-04","19268","Cash"
"Darshit Chokshi",803,"2020-11-14","28247","UPI"
"Darshit Chokshi",257,"2021-08-01","29330","Debit Card"
"Darshit Chokshi",803,"2023-04-07","16342","UPI"
"Darshit Chokshi",803,"2023-07-23","33266","Cash"
"Darshit Chokshi",991,"2023-09-07","33374","UPI"
"Darshit Chokshi",257,"2024-03-17","4154","UPI"
"Darshit Chokshi",730,"2024-06-11","49172","Credit Card"
"Darshit Chokshi",730,"2024-09-06","10100","Debit Card"
"Darshit Zachariah",504,"2024-08-18","44327","Credit Card"
"Devansh Srivastava",61,"2020-03-12","11416","Debit Card"
"Devansh Srivastava",61,"2021-07-12","20810","Net Banking"
"Devansh Srivastava",61,"2022-03-25","15283","Cash"
"Devansh Srivastava",61,"2023-03-28","42143","Debit Card"
"Dhanuk Keer",568,"2020-08-09","47464","Cash"
"Dhanuk Kuruvilla",301,"2020-08-07","2053","UPI"
"Dhanuk Kuruvilla",301,"2021-09-03","14190","UPI"
"Dhanuk Kuruvilla",893,"2022-08-01","5004","Cash"
"Dhanuk Kuruvilla",531,"2023-03-21","35597","Credit Card"
"Dhanuk Kuruvilla",893,"2024-06-20","28700","Cash"
"Dhanuk Kuruvilla",893,"2024-07-04","31887","Debit Card"
"Dhanuk Sandal",852,"2022-06-05","6548","Debit Card"
"Dhanuk Sandal",806,"2024-05-07","7889","Net Banking"
"Dhanuk Sandal",806,"2024-10-16","44075","Credit Card"
"Dhanuk Sundaram",628,"2021-09-04","10465","Debit Card"
"Dhanuk Sundaram",628,"2023-12-19","38956","Cash"
"Dhanush Cheema",728,"2021-05-17","46187","UPI"
"Dhanush Cheema",728,"2024-06-12","5372","Debit Card"
"Dhanush Jayaraman",499,"2024-08-30","31682","UPI"
"Dhanush Kanda",21,"2020-03-17","36384","Cash"
"Dhanush Kanda",953,"2020-07-01","7993","Debit Card"
"Dhanush Kanda",953,"2020-11-25","35118","UPI"
"Dhanush Kanda",21,"2022-06-17","7332","UPI"
"Dhanush Kanda",21,"2024-05-02","47734","Cash"
"Dhanush Lad",763,"2023-09-13","18332","Credit Card"
"Dhanush Lad",763,"2024-06-22","30018","Debit Card"
"Dharmajan Balan",221,"2022-11-25","15256","UPI"
"Dharmajan Choudhury",858,"2022-05-08","29499","Cash"
"Dharmajan Choudhury",858,"2023-11-03","40991","Net Banking"
"Dharmajan Choudhury",858,"2024-01-03","20209","Net Banking"
"Dharmajan Verma",380,"2020-02-18","13880","Net Banking"
"Dharmajan Verma",400,"2023-04-13","18093","UPI"
"Dharmajan Verma",380,"2023-07-29","40285","Cash"
"Dhruv Chander",666,"2020-04-22","28438","UPI"
"Dhruv Chander",666,"2022-04-25","25333","Debit Card"
"Dhruv Chander",666,"2023-08-10","48918","Cash"
"Dhruv Chander",666,"2023-09-19","48946","Cash"
"Dhruv Chander",666,"2024-06-12","36709","Credit Card"
"Dhruv Gaba",776,"2021-07-31","35745","Debit Card"
"Dhruv Gaba",776,"2022-04-25","16817","Net Banking"
"Dhruv Gaba",776,"2022-09-09","34217","Net Banking"
"Dhruv Gaba",606,"2023-05-14","44974","Net Banking"
"Dhruv Gaba",776,"2023-11-10","37913","Debit Card"
"Dhruv Gaba",776,"2023-12-05","12583","Cash"
"Dhruv Gaba",606,"2024-06-29","31321","Cash"
"Dhruv Joshi",28,"2024-01-13","24927","UPI"
"Dhruv Varughese",592,"2020-07-06","25394","Debit Card"
"Dhruv Varughese",592,"2020-10-24","29948","UPI"
"Dhruv Varughese",426,"2022-03-13","30638","Net Banking"
"Dhruv Varughese",426,"2023-04-28","18230","Cash"
"Dishani Vasa",897,"2021-01-04","8530","Net Banking"
"Dishani Vasa",897,"2021-02-08","15705","Debit Card"
"Dishani Vasa",897,"2021-07-18","41061","Net Banking"
"Dishani Vasa",897,"2023-10-17","32536","Cash"
"Divij Dubey",979,"2020-03-22","44281","Debit Card"
"Divij Dubey",979,"2020-12-17","47232","Net Banking"
"Divij Dubey",983,"2021-06-28","5340","UPI"
"Divij Dubey",979,"2021-09-21","19367","Credit Card"
"Divij Dubey",979,"2022-05-23","38368","Credit Card"
"Divij Dubey",979,"2024-07-03","35191","UPI"
"Divij Dubey",979,"2024-10-08","47666","UPI"
"Divij Mane",982,"2019-11-14","34377","Debit Card"
"Divij Mane",982,"2021-10-01","9195","Credit Card"
"Divij Mane",982,"2021-10-30","27478","Credit Card"
"Divij Mane",982,"2023-11-04","33779","Debit Card"
"Divit Chaudry",17,"2023-10-15","25928","Cash"
"Divit Chaudry",17,"2024-05-22","1704","Net Banking"
"Divit Dhillon",516,"2019-11-26","14489","UPI"
"Divit Dhillon",594,"2021-08-04","34538","Cash"
"Divit Dhillon",516,"2021-10-28","19736","Debit Card"
"Divit Dhillon",594,"2024-02-06","19364","Debit Card"
"Divit Dhillon",594,"2024-02-23","26366","UPI"
"Divit Din",718,"2020-01-01","36900","Debit Card"
"Divit Din",718,"2020-01-06","35617","Credit Card"
"Divit Din",718,"2020-03-06","16216","UPI"
